keyword,term_frequency,adjusted_score
chips,158,158.0
taste,119,119.0
bag,90,90.0
flavor,69,69.0
sugar,66,66.0
kettle,56,56.0
bags,49,49.0
box,45,45.0
bad,40,40.0
price,40,40.0
brand,37,37.0
little,36,36.0
eat,35,35.0
salt,35,35.0
coffee,33,33.0
tea,31,31.0
chocolate,29,29.0
think,28,28.0
case,27,27.0
chip,27,27.0
new,27,27.0
ingredients,26,26.0
eating,25,25.0
hard,25,25.0
quality,25,25.0
small,25,25.0
thought,25,25.0
organic,24,24.0
mouth,23,23.0
potato,23,23.0
size,23,23.0
fat,22,22.0
favorite,22,22.0
local,22,22.0
spicy,22,22.0
didn,21,21.0
going,21,21.0
people,21,21.0
say,21,21.0
company,20,20.0
cream,20,20.0
day,20,20.0
free,20,20.0
low,20,20.0
mix,20,20.0
purchased,20,20.0
vinegar,20,20.0
came,19,19.0
pack,19,19.0
plastic,19,19.0
shipping,19,19.0
sure,19,19.0
tastes,19,19.0
brands,18,18.0
doesn,18,18.0
energy,18,18.0
frosting,18,18.0
hot,18,18.0
old,18,18.0
unfortunately,18,18.0
want,18,18.0
actually,17,17.0
cats,17,17.0
date,17,17.0
flavors,17,17.0
looking,17,17.0
need,17,17.0
oil,17,17.0
packaging,17,17.0
pieces,17,17.0
sour,17,17.0
kettle chips,14,16.099999999999998
salt vinegar,14,16.099999999999998
away,16,16.0
broken,16,16.0
changed,16,16.0
drink,16,16.0
expensive,16,16.0
ginger,16,16.0
high,16,16.0
kind,16,16.0
long,16,16.0
oz,16,16.0
powder,16,16.0
received,16,16.0
years,16,16.0
candy,15,15.0
come,15,15.0
fresh,15,15.0
half,15,15.0
juice,15,15.0
milk,15,15.0
money,15,15.0
opened,15,15.0
pocky,15,15.0
sweet,15,15.0
tasty,15,15.0
water,15,15.0
year,15,15.0
potato chips,13,14.95
change,14,14.0
definitely,14,14.0
different,14,14.0
far,14,14.0
grocery,14,14.0
home,14,14.0
horrible,14,14.0
look,14,14.0
mess,14,14.0
real,14,14.0
stuff,14,14.0
tasted,14,14.0
white,14,14.0
won,14,14.0
bars,13,13.0
boxes,13,13.0
color,13,13.0
cookies,13,13.0
easy,13,13.0
enjoy,13,13.0
instead,13,13.0
large,13,13.0
natural,13,13.0
probably,13,13.0
raw,13,13.0
right,13,13.0
said,13,13.0
salsa,13,13.0
took,13,13.0
kettle brand,11,12.649999999999999
cake,12,12.0
disappointed,12,12.0
gave,12,12.0
greasy,12,12.0
looks,12,12.0
open,12,12.0
regular,12,12.0
salty,12,12.0
stale,12,12.0
texture,12,12.0
add,11,11.0
blend,11,11.0
bottle,11,11.0
brown,11,11.0
caffeine,11,11.0
calories,11,11.0
cat,11,11.0
cheaper,11,11.0
cheddar,11,11.0
consistency,11,11.0
corn,11,11.0
cup,11,11.0
having,11,11.0
honey,11,11.0
let,11,11.0
longer,11,11.0
maybe,11,11.0
msg,11,11.0
purchase,11,11.0
rice,11,11.0
sauce,11,11.0
smell,11,11.0
stars,11,11.0
started,11,11.0
version,11,11.0
sea salt,9,10.35
sugar raw,9,10.35
aren,10,10.0
baby,10,10.0
big,10,10.0
black,10,10.0
called,10,10.0
cut,10,10.0
deal,10,10.0
dogs,10,10.0
especially,10,10.0
experience,10,10.0
foods,10,10.0
formula,10,10.0
gone,10,10.0
higher,10,10.0
idea,10,10.0
isn,10,10.0
package,10,10.0
problems,10,10.0
recommend,10,10.0
red,10,10.0
save,10,10.0
says,10,10.0
sea,10,10.0
tasting,10,10.0
terrible,10,10.0
usually,10,10.0
expiration date,8,9.2
sour cream,8,9.2
spicy thai,8,9.2
arrived,9,9.0
cheese,9,9.0
creamers,9,9.0
earth,9,9.0
expiration,9,9.0
fast,9,9.0
inside,9,9.0
licorice,9,9.0
life,9,9.0
meat,9,9.0
months,9,9.0
needed,9,9.0
nice,9,9.0
past,9,9.0
plain,9,9.0
pretty,9,9.0
problem,9,9.0
rancid,9,9.0
read,9,9.0
shot,9,9.0
smaller,9,9.0
soda,9,9.0
sort,9,9.0
stick,9,9.0
stock,9,9.0
syrup,9,9.0
thai,9,9.0
weight,9,9.0
wish,9,9.0
local grocery,7,8.049999999999999
anymore,8,8.0
bar,8,8.0
believe,8,8.0
buying,8,8.0
chicken,8,8.0
com,8,8.0
cooked,8,8.0
daughter,8,8.0
days,8,8.0
drinks,8,8.0
dry,8,8.0
expect,8,8.0
extract,8,8.0
family,8,8.0
feel,8,8.0
gas,8,8.0
glass,8,8.0
healthy,8,8.0
liked,8,8.0
makes,8,8.0
ok,8,8.0
onion,8,8.0
online,8,8.0
ounce,8,8.0
peanuts,8,8.0
pepper,8,8.0
quite,8,8.0
ship,8,8.0
spices,8,8.0
star,8,8.0
stay,8,8.0
stopped,8,8.0
stores,8,8.0
strawberry,8,8.0
strong,8,8.0
throw,8,8.0
tiny,8,8.0
worst,8,8.0
wrong,8,8.0
able,7,7.0
body,7,7.0
content,7,7.0
cookie,7,7.0
cost,7,7.0
delivered,7,7.0
green,7,7.0
heavy,7,7.0
help,7,7.0
husband,7,7.0
jalapeno,7,7.0
jars,7,7.0
label,7,7.0
looked,7,7.0
loved,7,7.0
making,7,7.0
minutes,7,7.0
normal,7,7.0
oh,7,7.0
ones,7,7.0
paid,7,7.0
perfect,7,7.0
reason,7,7.0
rest,7,7.0
rich,7,7.0
sale,7,7.0
second,7,7.0
sell,7,7.0
seller,7,7.0
selling,7,7.0
slightly,7,7.0
snack,7,7.0
soy,7,7.0
waste,7,7.0
wouldn,7,7.0
